address,description,link
16 Carroll Street NORTH MELBOURNE VIC 3051,Externally alter and paint the building in addition to construction of a fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233822
209 Flemington Road NORTH MELBOURNE VIC 3051,Buildings and works comprising construction of a verandah and a roller door,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233685
26 Curran Street NORTH MELBOURNE VIC 3051,2 Lot Subdivision of PS740230E,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233546
107 Howard Street NORTH MELBOURNE VIC 3051,Partial demolition and alterations and additions to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233454
109 Howard Street NORTH MELBOURNE VIC 3051,Partial demolition and alterations and additions to the existing single dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233519
34 Brougham Street NORTH MELBOURNE VIC 3051,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233379
450 Dryburgh Street NORTH MELBOURNE VIC 3051,Partial demolition and additions and alterations to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233102
139-145 Chetwynd Street NORTH MELBOURNE VIC 3051,Amend the permit preamble to allow the ground and first floors to be used as a residential hotel (serviced apartments) and display of one business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232485
642-650 Queensberry Street NORTH MELBOURNE VIC 3051,6 Lot Subdivision of PS725666A,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232541
115 Arden Street NORTH MELBOURNE VIC 3051,Change to setback of garage and retrospective approval for additional demolition,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232546
41-61 Boundary Road NORTH MELBOURNE VIC 3051,Additions to an existing education centre with an increase in staff and student numbers and a reduction in the standard car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232346
36-42 Errol Street NORTH MELBOURNE VIC 3051,Hanging sign above footpath outside our front door.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232255
12 Lothian Street NORTH MELBOURNE VIC 3051,Change of use to leisure and recreation facility (calisthenics gym studio),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232282
294-296 Arden Street NORTH MELBOURNE VIC 3051,"To use the land as an office, buildings and works for in increase in the first floor area, external alterations to the existing building and a reduction in the standard car parking requirement",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232062
159-169 Curzon Street NORTH MELBOURNE VIC 3051,Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 1, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 3, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 14, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 10, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 15, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 4, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 6, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 12, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 8, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 11, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 7, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 13, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 16, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 5, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 17, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 18, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 9, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
"Flat 2, 159-169 Curzon Street NORTH MELBOURNE VIC 3051",Subdivision to allocate existing car parking presently within common property of PS729176W,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=232064
46-54 Henderson Street NORTH MELBOURNE VIC 3051,Alterations and additions to the existing office building including the construction of a second floor,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231722
166-168 Abbotsford Street NORTH MELBOURNE VIC 3051,Demolition of existing building and construction of 7 townhouses over 3 to 4 Levels.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231486
64-90 Sutton Street NORTH MELBOURNE VIC 3051,Amend Condition 4 of the existing licensed cafe permit to increase maximum patron numbers from 150 to 300 and a reduction in the standard car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231342
64-90 Sutton Street NORTH MELBOURNE VIC 3051,Change of use to an indoor recreation facility (Escape Games),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231192
69-73 Flemington Road NORTH MELBOURNE VIC 3051,External painting and display of signage publicising the sale of property,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231073
26 Little Baillie Street NORTH MELBOURNE VIC 3051,Creation of Easement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=230865
10 Baillie Street NORTH MELBOURNE VIC 3051,Demolish out buildings and part demolition of rear of existing building and construct alterations and a single storey rear addition to the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=230875
265-273 MacAulay Road NORTH MELBOURNE VIC 3051,Change of use. Primary use - Arts & Craft centre. Secondary use - place of assembly.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=230927
437-439 Dryburgh Street NORTH MELBOURNE VIC 3051,Partial demolition to the rear and construction of alterations and additions,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=230663
7-9 Courtney Street NORTH MELBOURNE VIC 3051,Redesign and modernise the existing ground floor kitchen and bathroom. To increase the amount of natural light into these rooms. To bring the outside toilet into the new bathroom. Convert the outside toilet to a shed.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=230142
88 Howard Street NORTH MELBOURNE VIC 3051,Redesign and modernise the existing ground floor kitchen and bathroom. To increase the amount of natural light into these rooms. To bring the outside toilet into the new bathroom. Convert the outside toilet to a shed.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=230142
10 Harker Street NORTH MELBOURNE VIC 3051,Partial demolition to construct a three storey addition to the rear,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=230075
2-8 De Le More Place NORTH MELBOURNE VIC 3051,Construction of a fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=230077
489 Abbotsford Street NORTH MELBOURNE VIC 3051,Alterations and additions including a first floor and partial demolition of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229913
24 Brougham Street NORTH MELBOURNE VIC 3051,Demolition of existing building to construct five new double storey town houses and associated building and works including construction of new vehicle crossovers,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229834
192-200 Arden Street NORTH MELBOURNE VIC 3051,Use of part of the land as an education centre associated with the existing office use,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229838
119-121 Howard Street NORTH MELBOURNE VIC 3051,Amend condition 16 to allow for a maximum of 70 patrons including an additional 20 patrons in the existing mezzanine floor area.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229730
15-17 Racecourse Road NORTH MELBOURNE VIC 3051,"Demolition of existing structure and erection of mixed use building, variation from the requirements of Clause 52.06 and alterations to an access to a Road Zone Category 1.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229634
15-19 Gracie Street NORTH MELBOURNE VIC 3051,Create separate titles for the two parts in Lot 1 on PS319666Q,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229533
"Unit 302, Level 3 85 Leveson Street NORTH MELBOURNE VIC 3051",Attach a retractable awning on the north facing wall above the windows to provide protection from the northern sun.  Also called a pergola.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229359
79-89 Leveson Street NORTH MELBOURNE VIC 3051,Attach a retractable awning on the north facing wall above the windows to provide protection from the northern sun.  Also called a pergola.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229359
502-506 Victoria Street NORTH MELBOURNE VIC 3051,To use the first floor of the building for the purpose of a restricted recreation fiacility (Brazilian Jiu Jitsu studio) and the ground floor for bathrooms.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229223
135-141 Abbotsford Street NORTH MELBOURNE VIC 3051,Buildings and works to carry out external alterations and a reduction in the car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229228
111-113 Arden Street NORTH MELBOURNE VIC 3051,"Part demolition, alterations and additions to the existing building for use as a single residential dwelling and provision of car parking spaces in excess of the maximum number specified in the Parking Overlay",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=235477
22 Arden Street NORTH MELBOURNE VIC 3051,Partial demolition and alterations and additions to the existing dwelling under 300 square metres,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228963
26 Erskine Street NORTH MELBOURNE VIC 3051,2 Lot Subdivision PS730571H,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228913
259 Abbotsford Street NORTH MELBOURNE VIC 3051,Addition to existing dwelling (replacement of roof hatch with roof housing above spiral staircase),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228733
480-482 Abbotsford Street NORTH MELBOURNE VIC 3051,External paintwork to existing building.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228374
Level 1 482 Abbotsford Street NORTH MELBOURNE VIC 3051,External paintwork to existing building.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228374
Ground 480 Abbotsford Street NORTH MELBOURNE VIC 3051,External paintwork to existing building.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228374
642-650 Queensberry Street NORTH MELBOURNE VIC 3051,Proposed addition of roof top terrace and third level study above apartments 3 and 6,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228048
399-405 Queensberry Street NORTH MELBOURNE VIC 3051,"Demolition of existing building; construction of a four storey building with basements;
use of the land for apartments and restaurant; reduction in car parking requirements
and waiver of on-site loading facilities for restaurant and medical centre
(optometrists).",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227980
38 Stawell Street NORTH MELBOURNE VIC 3051,Extend existing dwelling.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227713
38 Stawell Street NORTH MELBOURNE VIC 3051,Removal of Condition 4 of the existing permit,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227714
622-624 Victoria Street NORTH MELBOURNE VIC 3051,Demolition of the existing garage fronting Victoria Street; and buildings and works to construct a new garage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227726
461 Queensberry Street NORTH MELBOURNE VIC 3051,Alterations & extension to existing double storey dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227734
2 Harris Street NORTH MELBOURNE VIC 3051,Demolish the existing dwelling and construct a 3 storey townhouse with rooftop terrace.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227508
2B Harris Street NORTH MELBOURNE VIC 3051,Demolish the existing dwelling and construct a 3 storey townhouse with rooftop terrace.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227508
11 Errol Street NORTH MELBOURNE VIC 3051,Shop front alterations for the replacement of existing windows with new sashless window panels,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227412
638-640 Queensberry Street NORTH MELBOURNE VIC 3051,2 Lot Subdivision of PS730517P,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=226922
93 Chapman Street NORTH MELBOURNE VIC 3051,"Retrospective approval for partial demolition of the existing front fence and  buildings and works for the construction of a new front gate, cross over and driveway.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=226969
47 Chapman Street NORTH MELBOURNE VIC 3051,Partial demolition to the rear and alterations and additions to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=226976
113-117 Dryburgh Street NORTH MELBOURNE VIC 3051,"Partial demolition of existing building and the construction of a four storey residential building including a rooftop terrace, to create access to a road in a Road Zone Category 1 and to construct a building inside the Tree Protection Zone of an exceptional tree",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=226732
28-34 Howard Street NORTH MELBOURNE VIC 3051,Installation of photovoltaic panels to the first floor roof of the western building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=226556
265-269 Flemington Road NORTH MELBOURNE VIC 3051,Partial demolition and construction of a multi storey residential building including modifications to the existing crossover in a Road Zone Category 1 and a reduction in the standard car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=226126
20 Chapman Street NORTH MELBOURNE VIC 3051,7 Lot Subdivision of units to be constructed PS726943U,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=226081
112 Dryburgh Street NORTH MELBOURNE VIC 3051,Partial demolition and construction of alterations and additions to existing dwelling with associated construction of a crossover and provision of car parking in excess of one space,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=226038
47 Errol Street NORTH MELBOURNE VIC 3051,Alterations to what the permit allows to read,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=226020
261-263 Abbotsford Street NORTH MELBOURNE VIC 3051,Demolition of existing buildings and construction of a multi-storey apartment building above two levels of basement car parking including car spaces in excess of the maximum requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225779
265-267 Abbotsford Street NORTH MELBOURNE VIC 3051,Demolition of existing buildings and construction of a multi-storey apartment building above two levels of basement car parking including car spaces in excess of the maximum requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225779
135-139 Arden Street NORTH MELBOURNE VIC 3051,Demolition of existing buildings and construction of a multi-storey apartment building above two levels of basement car parking including car spaces in excess of the maximum requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225779
269-275 Abbotsford Street NORTH MELBOURNE VIC 3051,Demolition of existing buildings and construction of a multi-storey apartment building above two levels of basement car parking including car spaces in excess of the maximum requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225779
364-366 Victoria Street NORTH MELBOURNE VIC 3051,New liquor licence (replacing existing on-premises licence with new restaurant/cafe licence),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225867
30 Chapman Street NORTH MELBOURNE VIC 3051,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225473
548 Queensberry Street NORTH MELBOURNE VIC 3051,Two Lot Subdivision of PS734516U,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225266
Ground 548 Queensberry Street NORTH MELBOURNE VIC 3051,Two Lot Subdivision of PS734516U,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225266
Floor 1 548 Queensberry Street NORTH MELBOURNE VIC 3051,Two Lot Subdivision of PS734516U,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225266
18 Alfred Street NORTH MELBOURNE VIC 3051,Partial demolition and construction of single storey extension to the rear of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225106
3 Shiel Street NORTH MELBOURNE VIC 3051,Proposed construction of a multi-storey residential development and reduction in car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223831
5-15 Shiel Street NORTH MELBOURNE VIC 3051,Proposed construction of a multi-storey residential development and reduction in car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223831
3-9 Wreckyn Street NORTH MELBOURNE VIC 3051,Construction of external alterations to the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224548
241-247 Dryburgh Street NORTH MELBOURNE VIC 3051,Demolition of existing building  to construct a five storey building for the purposes of dwellings and alterations to existing vehicle crossing in a Road Zone 1,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224556
18-24 Raglan Street NORTH MELBOURNE VIC 3051,Enclose the existing terrace to convert to an alfresco room (Retrospective),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224457
51 Chapman Street NORTH MELBOURNE VIC 3051,Construction of buildings and works for an extension to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224279
85 Chetwynd Street NORTH MELBOURNE VIC 3051,Part demolition and alterations and additions to the rear of existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224283
362 Victoria Street NORTH MELBOURNE VIC 3051,Change of use to residential and shop and buildings and works to repaint the wall and minor improvments,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224142
173-185 Chetwynd Street NORTH MELBOURNE VIC 3051,Installation of a fully retractable awning to the first floor balcony,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224157
97-101 Lothian Street NORTH MELBOURNE VIC 3051,Increase apartment numbers from 15 to 21 (including increased car parking) and associated alterations to facade of building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224168
24 Erskine Street NORTH MELBOURNE VIC 3051,Construction of one double-storey dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223957
179 Abbotsford Street NORTH MELBOURNE VIC 3051,Demolition of the existing dwellings and construction of two new dwellings,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223862
181 Abbotsford Street NORTH MELBOURNE VIC 3051,Demolition of the existing dwellings and construction of two new dwellings,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223862
80 Chapman Street NORTH MELBOURNE VIC 3051,Demolition of existing buildings and the construction of a four-storey building comprising sixteen (16) apartments with a reduction in the standard car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223872
